ACTIVATION_DATE,SUBSCRIPTION_ID,BUNDLE_NAME,REVENUE,GENDER,PROVINCE
9/25/2023,859100127,Daily 1GB for 50 Afs Subscription,50,Male,KABUL
9/28/2023,865457263,Weekly 425MB Data Bundle,55,Male,KABUL
9/29/2023,859484723,Monthly 1GB 110AFN,110,Male,NANGARHAR
9/24/2023,859359276,Weekly 425MB Data Bundle,55,Male,PARWAN
9/29/2023,859466791,Weekly 425MB Data Bundle,55,Male,KABUL
9/30/2023,859193722,Hourly Bundle 400MB,11,Male,KABUL
9/26/2023,865441394,Daily 200MB Data Bundle,17,Male,NANGARHAR
9/27/2023,865441394,Hourly Bundle 400MB,11,Male,KABUL
9/28/2023,859169941,Daily 1GB for 50 Afs Subscription,50,Male,PAKTIKA
9/27/2023,863703094,Daily 200MB Data Bundle,17,Male,KABUL
9/28/2023,859103852,Weekly 425MB Data Bundle,55,Male,GHOR
9/30/2023,863030306,Hourly Bundle 400MB,10,Male,BALKH
9/24/2023,861333833,Daily 200MB Data Bundle,17,Male,KABUL
9/24/2023,861333833,Daily 200MB Data Bundle,17,Male,KABUL
9/24/2023,861333833,Daily 200MB Data Bundle,17,Male,NANGARHAR
9/24/2023,861333833,Daily 200MB Data Bundle,17,Male,BAGHLAN
9/25/2023,861333833,Daily 200MB Data Bundle,17,Male,KABUL
9/25/2023,861333833,Daily 200MB Data Bundle,17,Male,KABUL
9/25/2023,861333833,Daily 200MB Data Bundle,17,Male,HELMAND
9/25/2023,861333833,Daily 200MB Data Bundle,17,Male,BALKH
9/25/2023,861333833,Daily 200MB Data Bundle,17,Male,KABUL
9/25/2023,861333833,Daily 200MB Data Bundle,17,Male,KABUL
9/26/2023,861333833,Daily 200MB Data Bundle,17,Male,KABUL
9/26/2023,861333833,Daily 200MB Data Bundle,17,Male,NANGARHAR
9/28/2023,861333833,Daily 200MB Data Bundle,17,Male,PARWAN
9/29/2023,861333833,Daily 200MB Data Bundle,17,Male,KABUL
9/29/2023,861333833,Daily 200MB Data Bundle,17,Male,KABUL
9/29/2023,861333833,Daily 200MB Data Bundle,17,Male,NANGARHAR
9/29/2023,864718754,Daily 200MB Data Bundle,17,Male,KABUL
9/25/2023,864183371,Hourly Bundle 400MB,10,Male,PAKTIKA
9/28/2023,863712697,Daily 200MB Data Bundle,15,Female,KABUL
9/30/2023,863489201,Hourly Bundle 400MB,10,Male,GHOR
9/26/2023,863571254,Daily 200MB Data Bundle,17,Male,BALKH
9/27/2023,864175785,Daily 200MB Data Bundle,17,Female,KABUL
9/29/2023,865875437,Hourly Bundle 512MB,12,Male,KABUL
9/25/2023,865959757,Daily 200MB Data Bundle,15,Male,NANGARHAR
9/29/2023,861321325,Hourly Bundle 512MB,12,Male,BAGHLAN
9/24/2023,864181994,Daily 200MB Data Bundle,17,Male,KABUL
9/24/2023,863820399,Hourly Bundle 400MB,10,Male,KABUL
