,ACTIVATION_DATE,SUBSCRIPTION_ID,BUNDLE_NAME,REVENUE,PROVINCE,LANGUAGE,Interaction
63445,10/14/2023,3890747795.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
600,10/12/2023,3890810640.0,Monthly 550 Min,135.0,KABUL,Pashto,1
20300,10/26/2023,3890790940.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
77643,10/12/2023,3890733597.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
61703,10/3/2023,3890749537.0,Hourly Bundle 400MB,11.0,KABUL,Dari,1
35576,10/3/2023,3890775664.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
44303,10/24/2023,3890766937.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
13003,10/11/2023,3890798237.0,Hourly Bundle 400MB,20.0,NANGARHAR,Dari,1
56141,10/22/2023,3890755099.0,Daily 200MB Data Bundle,15.0,KABUL,English,1
97263,10/12/2023,3890713977.0,Daily 200MB Data Bundle,15.0,BAGHLAN,Pashto,1
20372,10/7/2023,3890790868.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
12255,10/2/2023,3890798985.0,Hourly Bundle 400MB,30.0,KABUL,Dari,1
61384,10/2/2023,3890749856.0,Monthly 550 Min,135.0,KABUL,Dari,1
2899,10/19/2023,3890808341.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
13308,10/23/2023,3890797932.0,Hourly Bundle 400MB,10.0,WARDAK,Pashto,1
33896,10/5/2023,3890777344.0,Daily 200MB Data Bundle,15.0,HELMAND,Pashto,1
10231,10/15/2023,3890801009.0,Daily 200MB Data Bundle,15.0,PARWAN,Dari,1
33459,10/27/2023,3890777781.0,Monthly 2.5GB Special Offer,250.0,NANGARHAR,Dari,1
48739,10/25/2023,3890762501.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
39233,10/5/2023,3890772007.0,Hourly Bundle 400MB,10.0,HERAT,Dari,1
1964,10/23/2023,3890809276.0,Daily 200MB Data Bundle,15.0,LAGHMAN,Dari,1
603,10/1/2023,3890810637.0,Daily 200MB Data Bundle,30.0,KHOST,Pashto,1
38255,10/2/2023,3890772985.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
2194,10/3/2023,3890809046.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
14070,10/22/2023,3890797170.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
47324,10/5/2023,3890763916.0,Daily 200MB Data Bundle,15.0,NIMROZ,Dari,1
51072,10/2/2023,3890760168.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
36979,10/27/2023,3890774261.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
84778,10/2/2023,3890726462.0,Daily 200MB Data Bundle,15.0,LOGAR,Dari,1
80666,10/28/2023,3890730574.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
44046,10/8/2023,3890767194.0,Daily 200MB Data Bundle,30.0,HERAT,Dari,1
87797,10/24/2023,3890723443.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
28147,10/6/2023,3890783093.0,Hourly Bundle 400MB,20.0,HERAT,Dari,1
60393,10/22/2023,3890750847.0,Hourly Bundle 400MB,20.0,GHOR,Dari,1
17614,10/15/2023,3890793626.0,Hourly Bundle 400MB,50.0,KHOST,Pashto,1
82579,10/29/2023,3890728661.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
38804,10/27/2023,3890772436.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
97355,10/20/2023,3890713885.0,Daily 200MB Data Bundle,30.0,KAPISA,Pashto,1
59438,10/17/2023,3890751802.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
22737,10/17/2023,3890788503.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
7141,10/10/2023,3890804099.0,Monthly 550 Min,135.0,KABUL,Pashto,1
46856,10/29/2023,3890764384.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
1598,10/4/2023,3890809642.0,Hourly Bundle 400MB,10.0,KHOST,Pashto,1
46835,10/18/2023,3890764405.0,Hourly Bundle 400MB,10.0,HERAT,Dari,1
89672,10/1/2023,3890721568.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
50394,10/3/2023,3890760846.0,Daily 200MB Data Bundle,15.0,PARWAN,Dari,1
98689,10/25/2023,3890712551.0,Daily 200MB Data Bundle,15.0,BAGHLAN,Dari,1
38236,10/27/2023,3890773004.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
2809,10/19/2023,3890808431.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
36154,10/28/2023,3890775086.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
62428,10/11/2023,3890748812.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
77556,10/28/2023,3890733684.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
47652,10/7/2023,3890763588.0,Hourly Bundle 400MB,10.0,KABUL,English,1
70144,10/15/2023,3890741096.0,Hourly Bundle 400MB,20.0,WARDAK,Pashto,1
10598,10/4/2023,3890800642.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
7643,10/25/2023,3890803597.0,Monthly 20GB for 999AFN,999.0,KABUL,Dari,1
87898,10/10/2023,3890723342.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
27483,10/19/2023,3890783757.0,Daily 200MB Data Bundle,45.0,WARDAK,Pashto,1
19712,10/27/2023,3890791528.0,Monthly 550 Min,135.0,KABUL,Pashto,1
20858,10/29/2023,3890790382.0,Daily 200MB Data Bundle,15.0,QANDAHAR,Pashto,1
48498,10/12/2023,3890762742.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
90182,10/18/2023,3890721058.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
64757,10/26/2023,3890746483.0,Hourly Bundle 400MB,20.0,BALKH,Dari,1
76753,10/18/2023,3890734487.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
41533,10/31/2023,3890769707.0,Daily 200MB Data Bundle,15.0,KHOST,Pashto,1
63884,10/22/2023,3890747356.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
53059,10/8/2023,3890758181.0,Hourly Bundle 400MB,30.0,BALKH,Dari,1
56185,10/13/2023,3890755055.0,Hourly Bundle 400MB,20.0,KABUL,Pashto,1
46355,10/12/2023,3890764885.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
22647,10/29/2023,3890788593.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
46946,10/18/2023,3890764294.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
51224,10/26/2023,3890760016.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
78983,10/18/2023,3890732257.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
16630,10/17/2023,3890794610.0,Daily 200MB Data Bundle,15.0,HELMAND,Dari,1
9758,10/14/2023,3890801482.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
17527,10/3/2023,3890793713.0,Daily 200MB Data Bundle,15.0,JOZJAN,Dari,1
26024,10/10/2023,3890785216.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
35514,10/17/2023,3890775726.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
33050,10/14/2023,3890778190.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
39750,10/24/2023,3890771490.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
50759,10/28/2023,3890760481.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
63568,10/5/2023,3890747672.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
87676,10/21/2023,3890723564.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
4106,10/6/2023,3890807134.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
16357,10/15/2023,3890794883.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
36800,10/31/2023,3890774440.0,Daily 200MB Data Bundle,15.0,QANDAHAR,Dari,1
27146,10/20/2023,3890784094.0,Monthly 550 Min,135.0,LAGHMAN,Pashto,1
22375,10/11/2023,3890788865.0,Hourly Bundle 400MB,10.0,PAKTIKA,Pashto,1
75212,10/16/2023,3890736028.0,Hourly 50 Onnet Min,30.0,KABUL,Dari,1
32304,10/27/2023,3890778936.0,Daily 200MB Data Bundle,15.0,JOZJAN,Dari,1
52258,10/31/2023,3890758982.0,Daily 200MB Data Bundle,15.0,LOGAR,Dari,1
36662,10/30/2023,3890774578.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
9963,10/23/2023,3890801277.0,Hourly Bundle 400MB,20.0,NANGARHAR,Dari,1
98480,10/4/2023,3890712760.0,Hourly Bundle 400MB,40.0,KABUL,Dari,1
59010,10/6/2023,3890752230.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
47238,10/24/2023,3890764002.0,Daily 200MB Data Bundle,45.0,HERAT,Dari,1
60338,10/16/2023,3890750902.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
22644,10/22/2023,3890788596.0,Hourly Bundle 400MB,10.0,KONDUZ,Dari,1
41434,10/11/2023,3890769806.0,Hourly Bundle 400MB,10.0,GHAZNI,Dari,1
57189,10/31/2023,3890754051.0,Daily 200MB Data Bundle,15.0,JOZJAN,Dari,1
84840,10/23/2023,3890726400.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
47175,10/29/2023,3890764065.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
33958,10/20/2023,3890777282.0,Hourly Bundle 400MB,10.0,GHAZNI,Dari,1
64228,10/31/2023,3890747012.0,Hourly Bundle 400MB,30.0,PARWAN,Dari,1
64790,10/5/2023,3890746450.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
13156,10/21/2023,3890798084.0,Daily 200MB Data Bundle,15.0,KHOST,Pashto,1
82477,10/18/2023,3890728763.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
81148,10/2/2023,3890730092.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
6567,10/13/2023,3890804673.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
10071,10/30/2023,3890801169.0,Hourly Bundle 400MB,60.0,KABUL,Pashto,1
42577,10/27/2023,3890768663.0,Daily 200MB Data Bundle,15.0,GHOR,Dari,1
1247,10/25/2023,3890809993.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
38984,10/21/2023,3890772256.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
81261,10/30/2023,3890729979.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
88196,10/19/2023,3890723044.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
75008,10/21/2023,3890736232.0,Hourly Bundle 400MB,10.0,KONDUZ,Dari,1
18491,10/1/2023,3890792749.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
17175,10/8/2023,3890794065.0,Monthly 550 Min,135.0,KABUL,Dari,1
79944,10/19/2023,3890731296.0,Daily 200MB Data Bundle,15.0,HERAT,Pashto,1
55617,10/29/2023,3890755623.0,Monthly 2.5GB Special Offer,250.0,BAGHLAN,Pashto,1
74541,10/7/2023,3890736699.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
4710,10/11/2023,3890806530.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
32596,10/30/2023,3890778644.0,Hourly Bundle 400MB,20.0,PAKTIA,Dari,1
80301,10/17/2023,3890730939.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
68837,10/3/2023,3890742403.0,Monthly 550 Min,135.0,NANGARHAR,Dari,1
71578,10/6/2023,3890739662.0,Daily 200MB Data Bundle,15.0,KONDUZ,Dari,1
10841,10/1/2023,3890800399.0,Daily 200MB Data Bundle,30.0,GHAZNI,Dari,1
3922,10/2/2023,3890807318.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
32782,10/2/2023,3890778458.0,Daily 200MB Data Bundle,15.0,KUNAR,Dari,1
79530,10/14/2023,3890731710.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
85101,10/28/2023,3890726139.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
37692,10/5/2023,3890773548.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
72620,10/22/2023,3890738620.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
9401,10/27/2023,3890801839.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
93252,10/11/2023,3890717988.0,Hourly Bundle 400MB,10.0,HELMAND,Pashto,1
63487,10/28/2023,3890747753.0,Hourly Bundle 400MB,30.0,GHAZNI,Dari,1
40464,10/10/2023,3890770776.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
45249,10/26/2023,3890765991.0,Daily 200MB Data Bundle,60.0,NANGARHAR,Pashto,1
75999,10/13/2023,3890735241.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
15372,10/25/2023,3890795868.0,Daily 200MB Data Bundle,30.0,HERAT,Dari,1
161,10/29/2023,3890811079.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
40172,10/29/2023,3890771068.0,Monthly 1000 Min for 200 Afs Subs,200.0,KABUL,Dari,1
89914,10/7/2023,3890721326.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
90219,10/30/2023,3890721021.0,Monthly 550 Min,135.0,PARWAN,Dari,1
10305,10/18/2023,3890800935.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
81578,10/30/2023,3890729662.0,Daily 200MB Data Bundle,30.0,JOZJAN,Dari,1
76500,10/24/2023,3890734740.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
69316,10/28/2023,3890741924.0,Daily 200MB Data Bundle,30.0,QANDAHAR,Pashto,1
94683,10/25/2023,3890716557.0,Daily 200MB Data Bundle,15.0,FARAH,Pashto,1
39589,10/22/2023,3890771651.0,Monthly 550 Min,135.0,BAGHLAN,Dari,1
54512,10/6/2023,3890756728.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
40724,10/29/2023,3890770516.0,Hourly Bundle 400MB,10.0,HERAT,Dari,1
52233,10/7/2023,3890759007.0,Hourly Bundle 400MB,20.0,KABUL,Pashto,1
47292,10/15/2023,3890763948.0,Daily 200MB Data Bundle,45.0,KONDUZ,Dari,1
68519,10/14/2023,3890742721.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
38497,10/25/2023,3890772743.0,Monthly 2.5GB Special Offer,250.0,BAGHLAN,Dari,1
57356,10/24/2023,3890753884.0,Hourly Bundle 400MB,30.0,KABUL,Dari,1
99915,10/30/2023,3890711325.0,Daily 200MB Data Bundle,15.0,FARYAB,Dari,1
58404,10/16/2023,3890752836.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
24563,10/26/2023,3890786677.0,Hourly Bundle 400MB,10.0,BALKH,Dari,1
95689,10/23/2023,3890715551.0,Hourly Bundle 400MB,30.0,NANGARHAR,Pashto,1
47959,10/7/2023,3890763281.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
15597,10/28/2023,3890795643.0,Hourly Bundle 400MB,10.0,JOZJAN,Dari,1
73022,10/23/2023,3890738218.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
73108,10/6/2023,3890738132.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
49897,10/19/2023,3890761343.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
80190,10/6/2023,3890731050.0,Daily 200MB Data Bundle,15.0,WARDAK,Pashto,1
13910,10/26/2023,3890797330.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
75945,10/2/2023,3890735295.0,Daily 200MB Data Bundle,15.0,PARWAN,Dari,1
92525,10/9/2023,3890718715.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
89919,10/26/2023,3890721321.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
71561,10/11/2023,3890739679.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
47676,10/27/2023,3890763564.0,Daily 200MB Data Bundle,15.0,KAPISA,Pashto,1
58266,10/7/2023,3890752974.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
10722,10/20/2023,3890800518.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
34329,10/19/2023,3890776911.0,Monthly 550 Min,135.0,NANGARHAR,Pashto,1
89548,10/3/2023,3890721692.0,Hourly Bundle 400MB,10.0,HELMAND,Dari,1
98602,10/6/2023,3890712638.0,Daily 200MB Data Bundle,45.0,KABUL,Dari,1
77983,10/7/2023,3890733257.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
76604,10/1/2023,3890734636.0,Daily 200MB Data Bundle,15.0,KABUL,English,1
73567,10/16/2023,3890737673.0,Daily 200MB Data Bundle,15.0,FARYAB,Dari,1
25386,10/13/2023,3890785854.0,Daily 200MB Data Bundle,30.0,JOZJAN,Dari,1
59293,10/28/2023,3890751947.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
32901,10/28/2023,3890778339.0,Hourly Bundle 400MB,20.0,GHAZNI,Dari,1
16138,10/30/2023,3890795102.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
78443,10/1/2023,3890732797.0,Hourly Bundle 400MB,10.0,BAGHLAN,Dari,1
45581,10/10/2023,3890765659.0,Hourly Bundle 400MB,10.0,NANGARHAR,Dari,1
43834,10/10/2023,3890767406.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
91508,10/26/2023,3890719732.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
78954,10/22/2023,3890732286.0,Daily 200MB Data Bundle,15.0,KHOST,Dari,1
74238,10/23/2023,3890737002.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
67235,10/23/2023,3890744005.0,Daily 200MB Data Bundle,15.0,LAGHMAN,Pashto,1
31727,10/10/2023,3890779513.0,Monthly 550 Min,135.0,KABUL,Pashto,1
78851,10/21/2023,3890732389.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
10489,10/11/2023,3890800751.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
52363,10/31/2023,3890758877.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
17402,10/11/2023,3890793838.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
69053,10/26/2023,3890742187.0,Monthly 550 Min,135.0,NANGARHAR,Dari,1
41597,10/30/2023,3890769643.0,Hourly Bundle 400MB,30.0,NIMROZ,Pashto,1
71409,10/15/2023,3890739831.0,Monthly 550 Min,135.0,NANGARHAR,Pashto,1
28449,10/17/2023,3890782791.0,Daily 200MB Data Bundle,30.0,KHOST,Pashto,1
70661,10/17/2023,3890740579.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
37941,10/4/2023,3890773299.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
5929,10/29/2023,3890805311.0,Hourly Bundle 400MB,10.0,LAGHMAN,Dari,1
56808,10/14/2023,3890754432.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
40561,10/3/2023,3890770679.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
60483,10/30/2023,3890750757.0,Monthly 550 Min,135.0,NANGARHAR,Pashto,1
27376,10/2/2023,3890783864.0,Monthly 20GB for 999AFN,999.0,KUNAR,Pashto,1
89437,10/24/2023,3890721803.0,Monthly 1000 Min for 200 Afs Subs,200.0,KABUL,Dari,1
93888,10/9/2023,3890717352.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
11633,10/29/2023,3890799607.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
85170,10/12/2023,3890726070.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
27105,10/19/2023,3890784135.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
66986,10/30/2023,3890744254.0,Daily 200MB Data Bundle,30.0,BAGHLAN,Dari,1
67049,10/30/2023,3890744191.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
47376,10/14/2023,3890763864.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
90360,10/10/2023,3890720880.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
12754,10/23/2023,3890798486.0,Daily 200MB Data Bundle,15.0,KABUL,English,1
72343,10/15/2023,3890738897.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
75886,10/4/2023,3890735354.0,Hourly 50 Onnet Min,10.0,KABUL,Dari,1
